id_tramite,nombre_tramite,organo_rector,fecha_publicacion_produccion,marca_arancelado,link_de_acceso,validador_identidad
425,"NICar - Registros, Renovaciones y Otras Operaciones",Secretaría Legal y Técnica,2016-06-15,ARANCELADO,https://tramitesadistancia.gob.ar/tramitesadistancia/detalle-tipo?id=425,NIC-AFIP
430,SIPRO Inscripción Proveedor – Persona Jurídica,Jefatura de Gabinete de Ministros,2016-07-07,NO ARANCELADO,https://tramitesadistancia.gob.ar/tramitesadistancia/detalle-tipo?id=430,"Mi argentina,AFIP"
431,SIPRO Actualización Proveedor – Agrupación de Colaboración / Unión Transitoria de Empresas,Jefatura de Gabinete de Ministros,2016-07-07,NO ARANCELADO,https://tramitesadistancia.gob.ar/tramitesadistancia/detalle-tipo?id=431,"Mi argentina,AFIP"
432,SIPRO Inscripción Proveedor – Agrupación de Colaboración / Unión Transitoria de Empresas,Jefatura de Gabinete de Ministros,2016-07-07,NO ARANCELADO,https://tramitesadistancia.gob.ar/tramitesadistancia/detalle-tipo?id=432,"Mi argentina,AFIP"
433,"SIPRO Inscripción Proveedor – Cooperativas, Mutuales, Sociedades de Hecho y Otros",Jefatura de Gabinete de Ministros,2016-07-07,NO ARANCELADO,https://tramitesadistancia.gob.ar/tramitesadistancia/detalle-tipo?id=433,"Mi argentina,AFIP"
434,SIPRO - Actualizacion Proveedor - Persona Humana,Jefatura de Gabinete de Ministros,2016-07-07,NO ARANCELADO,https://tramitesadistancia.gob.ar/tramitesadistancia/detalle-tipo?id=434,"Mi argentina,AFIP"
435,SIPRO Actualización Proveedor – Persona Jurídica,Jefatura de Gabinete de Ministros,2016-07-07,NO ARANCELADO,https://tramitesadistancia.gob.ar/tramitesadistancia/detalle-tipo?id=435,"Mi argentina,AFIP"
436,"SIPRO Actualización Proveedor – Cooperativas, Mutuales, Sociedades de Hecho y Otros",Jefatura de Gabinete de Ministros,2016-07-07,NO ARANCELADO,https://tramitesadistancia.gob.ar/tramitesadistancia/detalle-tipo?id=436,"Mi argentina,AFIP"
447,Certificado de Vigencia de Matrículas,Ministerio de Justicia,2016-08-22,ARANCELADO,https://tramitesadistancia.gob.ar/tramitesadistancia/detalle-tipo?id=447,"Mi argentina,AFIP"
448,URGENTE Certificado de Vigencia de Matrículas,Ministerio de Justicia,2016-08-22,ARANCELADO,https://tramitesadistancia.gob.ar/tramitesadistancia/detalle-tipo?id=448,"Mi argentina,AFIP"
